,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.7850690913110767,,
continuous_metrics,MSE,1.0204473693099463,,
exceedance_metrics,MAE,0.2299929987471442,0.028419927811655147,0.028419927811655147
exceedance_metrics,MSE,0.14687918478394377,0.02708848122855021,0.02708848122855021
exceedance_metrics,Brier,0.14687918478394377,0.02708848122855021,0.02708848122855021
exceedance_metrics,PR_AUC,0.9991421095686756,0.9992141872387355,0.9992141872387355
exceedance_metrics,ROC_AUC,0.997897732994512,0.9979981801637853,0.9979981801637853
exceedance_metrics,Precision,1.0,1.0,1.0
exceedance_metrics,Recall,0.5699727024567789,0.9554140127388535,0.39836214740673337
exceedance_metrics,F1,0.7260925002897879,0.9771986970684039,0.5697553357626236
exceedance_metrics,Specificity,1.0,1.0,1.0
