,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,1.7709857791939576,,
continuous_metrics,MSE,5.744748882620982,,
exceedance_metrics,MAE,0.30792560335162567,0.5317787465896436,0.5317787465896436
exceedance_metrics,MSE,0.1403071633261869,0.3045714079444079,0.3045714079444079
exceedance_metrics,Brier,0.1403071633261869,0.3045714079444079,0.3045714079444079
exceedance_metrics,PR_AUC,0.949342049484125,0.5948220201175508,0.5948220201175508
exceedance_metrics,ROC_AUC,0.8974358390375076,0.37863309550499336,0.37863309550499336
exceedance_metrics,Precision,0.9999224234901671,0.6706764379730967,0.6559745087626129
exceedance_metrics,Recall,0.4174060880829015,0.45046955958549223,1.0
exceedance_metrics,F1,0.5889583166744725,0.5389473276379768,0.7922519402219229
exceedance_metrics,Specificity,0.9999382525470825,0.5782340228465576,0.0
