,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.5077760742728163,,
continuous_metrics,MSE,0.348154041565521,,
exceedance_metrics,MAE,0.4418326273615656,0.4218711943461685,0.4218711943461685
exceedance_metrics,MSE,0.23331478322899374,0.3251476695739401,0.3251476695739401
exceedance_metrics,Brier,0.23331478322899374,0.3251476695739401,0.3251476695739401
exceedance_metrics,PR_AUC,0.7029887377289901,0.5697120110604437,0.5697120110604437
exceedance_metrics,ROC_AUC,0.5898617086263976,0.5892959545577905,0.5892959545577905
exceedance_metrics,Precision,0.9986219568213137,0.5756803326545434,0.5127318295739348
exceedance_metrics,Recall,0.04250659888552156,0.79041939583537,1.0
exceedance_metrics,F1,0.08154232774464573,0.6661723024190891,0.677888598031744
exceedance_metrics,Specificity,0.9999407184918785,0.4111963008338932,0.03954076591708493
