,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.010456562512942793,,
continuous_metrics,MSE,0.0005672975352980736,,
exceedance_metrics,MAE,0.32568607148562534,0.09741401038043608,0.09741401038043608
exceedance_metrics,MSE,0.11240528805476502,0.020823720235141764,0.020823720235141764
exceedance_metrics,Brier,0.11240528805476502,0.020823720235141764,0.020823720235141764
exceedance_metrics,PR_AUC,0.7599456551548978,0.4320090524386037,0.4320090524386037
exceedance_metrics,ROC_AUC,0.9660179826607507,0.910061937898574,0.910061937898574
exceedance_metrics,Precision,0.9696969696969697,0.19047619047619047,0.0014759297834256225
exceedance_metrics,Recall,0.6193548387096774,0.8258064516129032,0.9096774193548387
exceedance_metrics,F1,0.7559055118110236,0.309552599758162,0.002947078003511412
exceedance_metrics,Specificity,0.9999822335927229,0.9967783581470822,0.43507562567364294
