,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.08225709370120739,,
continuous_metrics,MSE,0.017828353242652726,,
exceedance_metrics,MAE,0.3936458610600346,0.017591178092062308,0.017591178092062308
exceedance_metrics,MSE,0.16131586942703324,0.0056941598712369436,0.0056941598712369436
exceedance_metrics,Brier,0.16131586942703324,0.0056941598712369436,0.0056941598712369436
exceedance_metrics,PR_AUC,0.44441482184511316,0.6013417469437656,0.6013417469437656
exceedance_metrics,ROC_AUC,0.9810155705172221,0.9943676890877693,0.9943676890877693
exceedance_metrics,Precision,0.9970845481049563,0.45595353339787026,1.0
exceedance_metrics,Recall,0.3220338983050847,0.4435028248587571,0.09322033898305085
exceedance_metrics,F1,0.48683274021352313,0.4496420047732697,0.17054263565891473
exceedance_metrics,Specificity,0.9999946152603522,0.9969737763179151,1.0
