,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.11701632966049341,,
continuous_metrics,MSE,0.053399311135261994,,
exceedance_metrics,MAE,0.5292659980705272,0.09609501939407078,0.09609501939407078
exceedance_metrics,MSE,0.3095970394194183,0.0665993153146617,0.0665993153146617
exceedance_metrics,Brier,0.3095970394194183,0.0665993153146617,0.0665993153146617
exceedance_metrics,PR_AUC,0.7137926055528273,0.738474859295704,0.738474859295704
exceedance_metrics,ROC_AUC,0.8299099855464194,0.8911084636328315,0.8911084636328315
exceedance_metrics,Precision,0.998463665693655,0.7239200705260065,0.7784081141481863
exceedance_metrics,Recall,0.43387409039321717,0.6578543293944856,0.6045797449763002
exceedance_metrics,F1,0.6048957557706627,0.6893078241404638,0.680569646413407
exceedance_metrics,Specificity,0.9999019165506012,0.9631402397159503,0.9747140867450026
