,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.20262357296547134,,
continuous_metrics,MSE,0.17282888439313399,,
exceedance_metrics,MAE,0.2917973582608235,0.11772480682044581,0.11772480682044581
exceedance_metrics,MSE,0.12011766992167722,0.06459606434699587,0.06459606434699587
exceedance_metrics,Brier,0.12011766992167722,0.06459606434699587,0.06459606434699587
exceedance_metrics,PR_AUC,0.9519241020503699,0.9297471945603626,0.9297471945603626
exceedance_metrics,ROC_AUC,0.9622978389417363,0.9656893937280115,0.9656893937280115
exceedance_metrics,Precision,0.9998080614203455,0.9087464632796162,0.9175906316182882
exceedance_metrics,Recall,0.8192643853775811,0.8298919271125891,0.3309816433370032
exceedance_metrics,F1,0.9005767069661755,0.8675310033821871,0.4864847013754727
exceedance_metrics,Specificity,0.9999316459651589,0.9637821263963753,0.9870810874150457
