,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.11438159129025842,,
continuous_metrics,MSE,0.07912633161700587,,
exceedance_metrics,MAE,0.47702959963939523,0.06931609939264206,0.06931609939264206
exceedance_metrics,MSE,0.23425504929470198,0.02711071421021888,0.02711071421021888
exceedance_metrics,Brier,0.23425504929470198,0.02711071421021888,0.02711071421021888
exceedance_metrics,PR_AUC,0.36114932256942867,0.2931807087550583,0.2931807087550583
exceedance_metrics,ROC_AUC,0.7105981917405801,0.9640259026783503,0.9640259026783503
exceedance_metrics,Precision,0.9969325153374233,0.2379711655376064,0.03994953742640875
exceedance_metrics,Recall,0.31100478468899523,0.6555023923444976,1.0
exceedance_metrics,F1,0.47410649161196206,0.3491780298203135,0.07682976142337242
exceedance_metrics,Specificity,0.9999855726919914,0.9683536998831388,0.6376870139800614
