,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.04393779169119865,,
continuous_metrics,MSE,0.002989433216377629,,
exceedance_metrics,MAE,0.30337366629808865,0.14205746991258347,0.14205746991258347
exceedance_metrics,MSE,0.09642013976605668,0.03973596667463114,0.03973596667463114
exceedance_metrics,Brier,0.09642013976605668,0.03973596667463114,0.03973596667463114
exceedance_metrics,PR_AUC,0.0,0.0,0.0
exceedance_metrics,ROC_AUC,,,
exceedance_metrics,Precision,0.0,0.0,0.0
exceedance_metrics,Recall,0.0,0.0,0.0
exceedance_metrics,F1,0.0,0.0,0.0
exceedance_metrics,Specificity,1.0,0.9793213377945632,0.861108318853483
