,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.15031430056354392,,
continuous_metrics,MSE,0.26635950556693516,,
exceedance_metrics,MAE,0.24698740093822075,0.1453517754956728,0.1453517754956728
exceedance_metrics,MSE,0.10972038941031138,0.04149914084344045,0.04149914084344045
exceedance_metrics,Brier,0.10972038941031138,0.04149914084344045,0.04149914084344045
exceedance_metrics,PR_AUC,0.9567064809117476,0.8563383501742984,0.8563383501742984
exceedance_metrics,ROC_AUC,0.9927168994528044,0.9296024594122443,0.9296024594122443
exceedance_metrics,Precision,0.9998040368410739,0.9772360638107188,0.10410782652356744
exceedance_metrics,Recall,0.7301087578706353,0.7801946193474528,0.9494848311390955
exceedance_metrics,F1,0.8439335042593664,0.8676692925917084,0.18764140271493213
exceedance_metrics,Specificity,0.9999890279895985,0.9986065546790138,0.3735311221075038
