,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.07073631674644698,,
continuous_metrics,MSE,0.0466326676932972,,
exceedance_metrics,MAE,0.321615829900924,0.056991636630097556,0.056991636630097556
exceedance_metrics,MSE,0.11952553050824397,0.04378745261819488,0.04378745261819488
exceedance_metrics,Brier,0.11952553050824397,0.04378745261819488,0.04378745261819488
exceedance_metrics,PR_AUC,0.15374759804122476,0.22836020223740536,0.22836020223740536
exceedance_metrics,ROC_AUC,0.866829780676178,0.9516863117184968,0.9516863117184968
exceedance_metrics,Precision,0.9846153846153847,0.031525851197982346,0.19668840943301555
exceedance_metrics,Recall,0.08163265306122448,0.09566326530612244,1.0
exceedance_metrics,F1,0.15076560659599528,0.047423332279481506,0.3287211740041929
exceedance_metrics,Specificity,0.9999773401917019,0.9477918016813578,0.9274432938297342
