,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.024649063200484964,,
continuous_metrics,MSE,0.001191168504864528,,
exceedance_metrics,MAE,0.304781996155997,0.011128914092036826,0.011128914092036826
exceedance_metrics,MSE,0.09752785730509385,0.005708588010551948,0.005708588010551948
exceedance_metrics,Brier,0.09752785730509385,0.005708588010551948,0.005708588010551948
exceedance_metrics,PR_AUC,0.0,0.0,0.0
exceedance_metrics,ROC_AUC,,,
exceedance_metrics,Precision,0.0,0.0,0.0
exceedance_metrics,Recall,0.0,0.0,0.0
exceedance_metrics,F1,0.0,0.0,0.0
exceedance_metrics,Specificity,1.0,0.9859162872005978,1.0
