,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.9947210364680615,,
continuous_metrics,MSE,2.222816956987389,,
exceedance_metrics,MAE,0.45782095461954436,0.4302942133832632,0.4302942133832632
exceedance_metrics,MSE,0.21633519028531054,0.36804178586770764,0.36804178586770764
exceedance_metrics,Brier,0.21633519028531054,0.36804178586770764,0.36804178586770764
exceedance_metrics,PR_AUC,0.7723868911975802,0.714727973430946,0.714727973430946
exceedance_metrics,ROC_AUC,0.7700743072543905,0.6632202229279279,0.6632202229279279
exceedance_metrics,Precision,0.9767441860465116,0.5830247515104268,0.4937270456882621
exceedance_metrics,Recall,0.0012497024517971911,0.3560461794810759,1.0
exceedance_metrics,F1,0.0024962111081394314,0.442104485332151,0.6610672908593797
exceedance_metrics,Specificity,0.999970982531484,0.7516685044396727,0.0
