,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.03382659894874347,,
continuous_metrics,MSE,0.005606759483868534,,
exceedance_metrics,MAE,0.4371585220437465,0.16007650550403113,0.16007650550403113
exceedance_metrics,MSE,0.20086218570294515,0.0459039449597733,0.0459039449597733
exceedance_metrics,Brier,0.20086218570294515,0.0459039449597733,0.0459039449597733
exceedance_metrics,PR_AUC,0.6662457527345511,0.37090490727462627,0.37090490727462627
exceedance_metrics,ROC_AUC,0.8843065893474369,0.9391505512916815,0.9391505512916815
exceedance_metrics,Precision,0.9954268292682927,0.23114614401363442,0.013137974130485586
exceedance_metrics,Recall,0.5050270688321732,0.8391337973704563,1.0
exceedance_metrics,F1,0.6700872242175474,0.36245197928845835,0.025935212115133888
exceedance_metrics,Specificity,0.9999789551956114,0.9746831003205825,0.3186814728557098
