,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.1954360040202445,,
continuous_metrics,MSE,0.08241056304687971,,
exceedance_metrics,MAE,0.35084140851817286,0.1182145414480367,0.1182145414480367
exceedance_metrics,MSE,0.13616338193740268,0.11181138261421195,0.11181138261421195
exceedance_metrics,Brier,0.13616338193740268,0.11181138261421195,0.11181138261421195
exceedance_metrics,PR_AUC,0.6340838638579187,0.21161005359524057,0.21161005359524057
exceedance_metrics,ROC_AUC,0.8854698038405434,0.6329028019063975,0.6329028019063975
exceedance_metrics,Precision,0.9966777408637874,0.0,0.1457340128226204
exceedance_metrics,Recall,0.05207730586737646,0.0,0.10259229255873163
exceedance_metrics,F1,0.09898267803134451,0.0,0.12041564792176039
exceedance_metrics,Specificity,0.9999772090161132,1.0,0.9210444348215846
