,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.22019937036303192,,
continuous_metrics,MSE,0.0701331323583011,,
exceedance_metrics,MAE,0.42495401008299766,0.8052494170204992,0.8052494170204992
exceedance_metrics,MSE,0.18385648846521707,0.6858978184560156,0.6858978184560156
exceedance_metrics,Brier,0.18385648846521707,0.6858978184560156,0.6858978184560156
exceedance_metrics,PR_AUC,0.06454309228499168,0.08676879455700152,0.08676879455700152
exceedance_metrics,ROC_AUC,0.4448924191032359,0.577359320582589,0.577359320582589
exceedance_metrics,Precision,0.96,0.05175458644117097,0.04935605310085199
exceedance_metrics,Recall,0.009634684865515858,1.0,1.0
exceedance_metrics,F1,0.019077901430842606,0.09841570858520012,0.09406922074734238
exceedance_metrics,Specificity,0.999979157548094,0.048750495008232766,0.0
