,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.00819490036076332,,
continuous_metrics,MSE,0.0005179657301320669,,
exceedance_metrics,MAE,0.43800046452472086,0.06654184333264777,0.06654184333264777
exceedance_metrics,MSE,0.20164531304864858,0.016952502897504215,0.016952502897504215
exceedance_metrics,Brier,0.20164531304864858,0.016952502897504215,0.016952502897504215
exceedance_metrics,PR_AUC,0.9481101793145864,0.8934877307031849,0.8934877307031849
exceedance_metrics,ROC_AUC,0.9985446422357059,0.9954309224729768,0.9954309224729768
exceedance_metrics,Precision,0.9939024390243902,0.6980351602895554,0.6472275334608031
exceedance_metrics,Recall,0.844559585492228,0.8743523316062176,0.8769430051813472
exceedance_metrics,F1,0.9131652661064426,0.7763082231167338,0.7447744774477447
exceedance_metrics,Specificity,0.9999722172058844,0.9979718560295608,0.9974370372428355
