,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.5223657509121351,,
continuous_metrics,MSE,0.43057431182318995,,
exceedance_metrics,MAE,0.46037252529582695,0.3792215923329773,0.3792215923329773
exceedance_metrics,MSE,0.2243510639752318,0.27051487957039483,0.27051487957039483
exceedance_metrics,Brier,0.2243510639752318,0.27051487957039483,0.27051487957039483
exceedance_metrics,PR_AUC,0.736479261119545,0.9622690999003846,0.9622690999003846
exceedance_metrics,ROC_AUC,0.8400947855976243,0.9644455927184502,0.9644455927184502
exceedance_metrics,Precision,0.9893617021276596,1.0,0.6097921082085109
exceedance_metrics,Recall,0.003631819424376147,0.04346467762721131,1.0
exceedance_metrics,F1,0.00723707248745185,0.08330838323353293,0.757603550295858
exceedance_metrics,Specificity,0.9999600734648247,1.0,0.3457637946179031
