,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.1998740960440476,,
continuous_metrics,MSE,0.10269858281739606,,
exceedance_metrics,MAE,0.39854269824914157,0.1438183795670754,0.1438183795670754
exceedance_metrics,MSE,0.16684241218378043,0.08879220703560559,0.08879220703560559
exceedance_metrics,Brier,0.16684241218378043,0.08879220703560559,0.08879220703560559
exceedance_metrics,PR_AUC,0.10921057306132784,0.12467837434346861,0.12467837434346861
exceedance_metrics,ROC_AUC,0.42178619647447996,0.8934503387724418,0.8934503387724418
exceedance_metrics,Precision,0.9970845481049563,0.09567876717769482,0.06498587263638339
exceedance_metrics,Recall,0.06354515050167224,0.447603121516165,1.0
exceedance_metrics,F1,0.11947598253275109,0.15765706806282723,0.12204081632653062
exceedance_metrics,Specificity,0.9999943525159541,0.8714124357598689,0.5626814254249731
