,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.44078714436127686,,
continuous_metrics,MSE,0.38088175073113983,,
exceedance_metrics,MAE,0.42094618070506,0.31966099399345516,0.31966099399345516
exceedance_metrics,MSE,0.19118119446397744,0.20229545998060589,0.20229545998060589
exceedance_metrics,Brier,0.19118119446397744,0.20229545998060589,0.20229545998060589
exceedance_metrics,PR_AUC,0.11208892270111599,0.8236388995708035,0.8236388995708035
exceedance_metrics,ROC_AUC,0.3251825335472669,0.970636431884001,0.970636431884001
exceedance_metrics,Precision,0.9970845481049563,0.3033062677270452,0.13344442552363345
exceedance_metrics,Recall,0.015586546349466776,0.9942120134901102,1.0
exceedance_metrics,F1,0.03069329145164909,0.4648115398546865,0.2354670816118474
exceedance_metrics,Specificity,0.9999930531434525,0.6518999652657173,0.010170197985411602
