,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.44618254581427386,,
continuous_metrics,MSE,0.553734276621151,,
exceedance_metrics,MAE,0.2302970620817646,0.21894259181036346,0.21894259181036346
exceedance_metrics,MSE,0.13585766092055046,0.12177117026090106,0.12177117026090106
exceedance_metrics,Brier,0.13585766092055046,0.12177117026090106,0.12177117026090106
exceedance_metrics,PR_AUC,0.9717708628150729,0.9619910312263973,0.9619910312263973
exceedance_metrics,ROC_AUC,0.9022406177433724,0.8887689451279086,0.8887689451279086
exceedance_metrics,Precision,0.9981463120231064,0.9259428513398581,0.9459797608095676
exceedance_metrics,Recall,0.5540427364743605,0.8727118279055299,0.6151324447847623
exceedance_metrics,F1,0.7125623191973903,0.8985396559476222,0.7454977815155294
exceedance_metrics,Specificity,0.9965794288441652,0.767957998568133,0.8832232917031262
