,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.02148234469478509,,
continuous_metrics,MSE,0.0020975661340499937,,
exceedance_metrics,MAE,0.5530763735442176,0.02489517755928662,0.02489517755928662
exceedance_metrics,MSE,0.33349917761038167,0.00882469685817721,0.00882469685817721
exceedance_metrics,Brier,0.33349917761038167,0.00882469685817721,0.00882469685817721
exceedance_metrics,PR_AUC,0.9751804643766346,0.9710651708771121,0.9710651708771121
exceedance_metrics,ROC_AUC,0.9907323439902891,0.9902170200257359,0.9902170200257359
exceedance_metrics,Precision,0.9969273313873099,0.8521622934888241,0.9998359310910583
exceedance_metrics,Recall,0.8846625766871166,0.956373551465576,0.830811179277437
exceedance_metrics,F1,0.9374458249060965,0.9012654975268195,0.9075204765450484
exceedance_metrics,Specificity,0.9998230824347395,0.9892345661539006,0.999991154121737
