,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.1335065914979642,,
continuous_metrics,MSE,0.03339718639370557,,
exceedance_metrics,MAE,0.24246864411605587,0.17759703259035786,0.17759703259035786
exceedance_metrics,MSE,0.1570981887023908,0.07769543831676373,0.07769543831676373
exceedance_metrics,Brier,0.1570981887023908,0.07769543831676373,0.07769543831676373
exceedance_metrics,PR_AUC,0.957672433371694,0.9911837880163332,0.9911837880163332
exceedance_metrics,ROC_AUC,0.8733578628074948,0.9756440092806736,0.9756440092806736
exceedance_metrics,Precision,0.9994460174812262,0.9730422817112835,0.9934509256025148
exceedance_metrics,Recall,0.46096411537588006,0.8833181921417216,0.6459800136270725
exceedance_metrics,F1,0.6309306392073052,0.9260119047619048,0.7828929259565097
exceedance_metrics,Specificity,0.999224405377456,0.9257152705963461,0.9870734229576008
