,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.037053701317594244,,
continuous_metrics,MSE,0.004913105629217065,,
exceedance_metrics,MAE,0.3253438075841335,0.0030194934931588435,0.0030194934931588435
exceedance_metrics,MSE,0.11205646430039379,0.0023003810519014014,0.0023003810519014014
exceedance_metrics,Brier,0.11205646430039379,0.0023003810519014014,0.0023003810519014014
exceedance_metrics,PR_AUC,0.352470181083358,0.20207732292997818,0.20207732292997818
exceedance_metrics,ROC_AUC,0.9022151076754014,0.7531806290138731,0.7531806290138731
exceedance_metrics,Precision,0.9696969696969697,1.0,0.0
exceedance_metrics,Recall,0.210989010989011,0.15824175824175823,0.0
exceedance_metrics,F1,0.34657039711191334,0.2732447817836812,0.0
exceedance_metrics,Specificity,0.9999821383917408,1.0,1.0
