,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.858160852001469,,
continuous_metrics,MSE,1.1315524766518188,,
exceedance_metrics,MAE,0.28484220834863505,0.5237774794803927,0.5237774794803927
exceedance_metrics,MSE,0.10483297257010284,0.37299000568061536,0.37299000568061536
exceedance_metrics,Brier,0.10483297257010284,0.37299000568061536,0.37299000568061536
exceedance_metrics,PR_AUC,1.0,1.0,1.0
exceedance_metrics,ROC_AUC,,,
exceedance_metrics,Precision,1.0,1.0,1.0
exceedance_metrics,Recall,0.13744032317297097,0.5889092912229159,1.0
exceedance_metrics,F1,0.2416659940269594,0.741274904081727,1.0
exceedance_metrics,Specificity,,,
