,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.23414469734990506,,
continuous_metrics,MSE,0.24782050043134968,,
exceedance_metrics,MAE,0.3349625070114841,0.14378112456932027,0.14378112456932027
exceedance_metrics,MSE,0.13320314516314208,0.09317248655480666,0.09317248655480666
exceedance_metrics,Brier,0.13320314516314208,0.09317248655480666,0.09317248655480666
exceedance_metrics,PR_AUC,0.3827124373772845,0.2293225410055197,0.2293225410055197
exceedance_metrics,ROC_AUC,0.8218966219581127,0.7718771936517266,0.7718771936517266
exceedance_metrics,Precision,0.972972972972973,0.30969965534219596,0.1189947758391095
exceedance_metrics,Recall,0.010329985652797705,0.18048780487804877,1.0
exceedance_metrics,F1,0.020442930153321975,0.22806381435823062,0.2126815574270719
exceedance_metrics,Specificity,0.9999670922732657,0.9538633671185994,0.1509148348032118
