,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.019135169020085732,,
continuous_metrics,MSE,0.0017247201947347265,,
exceedance_metrics,MAE,0.47867761902773936,0.010704106393429573,0.010704106393429573
exceedance_metrics,MSE,0.2361062698613073,0.002725821858547008,0.002725821858547008
exceedance_metrics,Brier,0.2361062698613073,0.002725821858547008,0.002725821858547008
exceedance_metrics,PR_AUC,0.9892750736862799,0.9906331111875608,0.9906331111875608
exceedance_metrics,ROC_AUC,0.9999108121725627,0.9998918292289467,0.9998918292289467
exceedance_metrics,Precision,0.9969325153374233,0.9444444444444444,0.0
exceedance_metrics,Recall,0.9154929577464789,0.9577464788732394,0.0
exceedance_metrics,F1,0.9544787077826725,0.951048951048951,0.0
exceedance_metrics,Specificity,0.999986015159567,0.9997203031913405,1.0
