,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.0953433890107418,,
continuous_metrics,MSE,0.01118571202969462,,
exceedance_metrics,MAE,0.2908163095438952,0.11537444274853838,0.11537444274853838
exceedance_metrics,MSE,0.08643993092252028,0.03927071593198926,0.03927071593198926
exceedance_metrics,Brier,0.08643993092252028,0.03927071593198926,0.03927071593198926
exceedance_metrics,PR_AUC,0.0,0.0,0.0
exceedance_metrics,ROC_AUC,,,
exceedance_metrics,Precision,0.0,0.0,0.0
exceedance_metrics,Recall,0.0,0.0,0.0
exceedance_metrics,F1,0.0,0.0,0.0
exceedance_metrics,Specificity,1.0,1.0,0.0008267251560654631
